clinic,city,department,job_title,qualification,pay_grade,pay_text,housing,housing_quote,employment_type,requirements_must,experience_required,confidence,confidence_why,job_url
Waldkrankenhaus St. Marien,Erlangen,Notfallpflege / Praxisanleitung,Pflegefachkraft (m/w/d) für Notfallpflege und Praxisanleitung,fachweiterbildung,,Vergütung nach AVR Caritas,ja,Unterstützung bei der Wohnungssuche,"Vollzeit (38,5 Std.) ∼ Unbefristet",Abgeschlossene Ausbildung in der Gesundheits- und Krankenpflege mit Fachweiterbildung Notfallpflege,Fachweiterbildung Notfallpflege; idealerweise mehrere Jahre Berufserfahrung in der Notfallpflege,4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.malteser.de/de/job-offer-list/job-detail/Pflegefachkraft-mit-Fachweiterbildung-fuer-Notfallpflege-m-w-d-11702.html
Waldkrankenhaus St. Marien,Erlangen,Interdisziplinäre Intensivstation,Pflegefachkraft (m/w/d) für unsere interdisziplinäre Intensivstation,pflegefachkraft,,Vergütung nach den Arbeitsvertragsrichtlinien des Deutschen Caritasverbandes (AVR) ... (TVöD angelehnt),ja,Unterstützung bei der Wohnungssuche,,abgeschlossene Ausbildung zur Pflegefachkraft oder Gesundheits-und Krankenpfleger/in,mehrjährige Berufserfahrung; Fachweiterbildung Intensiv-und Anästhesiepflege oder Bereitschaft,4,Zuordnung aus dem vorherigen Lauf übernommen,https://jobs.malteser.de/de/job-offer-list/job-detail/Pflegefachkraft-m-w-d-fuer-unsere-interdisziplinaere-Intensivstation-12605.html
Waldkrankenhaus St. Marien,Erlangen,Notaufnahme,Pflegefachkraft für die Notfallpflege und Praxisanleitung (m/w/d),fachweiterbildung,,Attraktive Vergütung nach AVR-Caritas mit Sozialleistungen,unklar,Unterstützung bei der Wohnungssuche für einen stressfreien Start bei uns,vollzeit,"Abgeschlossene Ausbildung in der Gesundheits- und Krankenpflege mit Fachweiterbildung Notfallpflege | Abgeschlossene Weiterbildung: zur Praxisanleitung oder die Bereitschaft, diese zu absolvieren | Berufserfahrung: Idealerweise bringen Sie mehrere Jahre Berufserfahrung in der Notfallpflege mit. | Verantwortungsbereitschaft und Belastbarkeit: Sie übernehmen gerne Verantwortung, zeigen eine hohe Belastbarkeit und handeln auch unter Druck souverän. | Positive Grundeinstellung und Teamorientierung: Sie haben Freude an Ihrer Arbeit, schätzen das interdisziplinäre Miteinander",,5,Live-Pruefung fehlgeschlagen,https://jobs.malteser.de/de/job-offer-list/job-detail/Pflegefachkraft-fuer-die-Notfallpflege-und-Praxisanleitung-m-w-d-11702.html
Wertachklinik Bobingen,Bobingen,Care Station Innere Medizin und Onkologie,Fachkraft für den Care Bereich Innere Medizin und Onkologie (m/w/d),pflegefachkraft,P7,Vergütung nach TVöD-K in Entgeltgruppe P7,unklar,,Voll/Teilzeit,Eine abgeschlossene Ausbildung als Pflegefachkraft (m/w/d),Idealerweise erste Berufserfahrung in der Onkologie,4,Zuordnung aus dem vorherigen Lauf übernommen,https://karriere-wertachkliniken.de/Fachkraft-fuer-den-Care-Bereich-Innere-Medizin-und-Onkolog-de-j577.html
Wertachklinik Bobingen,Bobingen,Chirurgische-Orthopädische Station,Gesundheits- und Krankenpfleger (m/w/d) / Pflegefachkraft (m/w/d) für die Chirurgische-Orthopädische Station,pflegefachkraft,P7,Vergütung nach TVöD-K in Entgeltgruppe P7 sowie zusätzliche Vorteile und Leistungen des öffentlichen Dienstes,unklar,,in Vollzeit/Teilzeit,Eine abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (m/w/d) bzw. Pflegefachkraft (m/w/d),,4,Zuordnung aus dem vorherigen Lauf übernommen,https://karriere-wertachkliniken.de/Gesundheits-und-Krankenpfleger-mwd-Pflegefachkraft-mwd-fue-de-j163.html
Wertachklinik Bobingen,Bobingen,Intensivstation,Gesundheits- und Krankenpfleger (m/w/d) / Pflegefachkraft (m/w/d)- Intensiv,pflegefachkraft,P8,Vergütung nach TVöD-K in Entgeltgruppe P8 / mit Fachweiterbildung in Entgeltgruppe P9; attraktive Arbeitsmarktzulage wahlweise,unklar,,in Vollzeit/Teilzeit,Eine abgeschlossene Ausbildung zum Gesundheits- und Krankenpfleger (m/w/d) bzw. zur Pflegefachkraft (m/w/d),Fachausbildung Intensiv und Anästhesie wäre wünschenswert,4,Zuordnung aus dem vorherigen Lauf übernommen,https://karriere-wertachkliniken.de/Gesundheits-und-Krankenpfleger-mwd-Pflegefachkraft-mwd-Int-de-j62.html
Wertachklinik Bobingen,Bobingen,Normalstation,Gesundheits- und Krankenpfleger (m/w/d) / Pflegefachkräfte (m/w/d) für die Normalstation,pflegefachkraft,P7,Vergütung nach TVöD-K in Entgeltgruppe P7 sowie zusätzliche Vorteile und Leistungen des öffentlichen Dienstes,unklar,,,abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger bzw. Pflegefachkraft,,4,Klinik nach Anzeigenort korrigiert,https://karriere-wertachkliniken.de/Gesundheits-und-Krankenpfleger-mwd-Pflegefachkraefte-mwd-f-de-j33.html
Wertachklinik Bobingen,Bobingen,Anästhesiepflege,Pflegefachkraft für die Anästhesie / ATA (m/w/d),ota_ata,P8,leistungsgerechte Vergütung nach TVöD-K in Entgeltgruppe P8 / mit Fachweiterbildung in Entgeltgruppe P9,unklar,,Voll/Teilzeit,abgeschlossene Ausbildung als Pflegefachkraft – gerne mit Fachweiterbildung Anästhesie- und Intensivpflege oder als Anästhesietechnische Assistenz (ATA),Berufserfahrung in der Anästhesiepflege ist wünschenswert,4,Zuordnung aus dem vorherigen Lauf übernommen,https://karriere-wertachkliniken.de/Pflegefachkraft-fuer-die-Anaesthesie-ATA-mwd-de-j579.html
Wertachklinik Bobingen,Bobingen,Unfallchirurgie & Orthopädie,Stationsleitung Unfallchirurgie & Orthopädie (m/w/d),leitung,P12,Vergütung nach TVöD-K in Entgeltgruppe P12 unter Berücksichtigung der Berufserfahrung,unklar,,Voll/Teilzeit (Teilzeit mind. 75%),Eine abgeschlossene Ausbildung als Pflegefachkraft (m/w/d),"Einschlägige Berufserfahrung, idealerweise im chirurgischen Fachbereich mit Leitungserfahrung; Weiterbildung zur Leitung einer Station wünschenswert",4,Zuordnung aus dem vorherigen Lauf übernommen,https://karriere-wertachkliniken.de/Stationsleitung-Unfallchirurgie-Orthopaedie-mwd-de-j588.html
WolfartKlinik,Gräfelfing,Anästhesieabteilung,Fachkrankenpfleger/in Intensivpflege und Anästhesie (m/w/d),fachweiterbildung,,Eine Vergütung nach dem Tarifvertrag der Privatkrankenanstalten in Bayern,unklar,,,"Abgeschlossene 3-jährige Ausbildung als Gesundheits- und Krankenpfleger/in | Berufserfahrung in diesen Bereichen oder die Herausforderung annehmen, in einen für Sie neuen Bereich zu arbeiten und sich weiter zu entwickeln | Teamfähigkeit | schnelle Auffassungsgabe und selbständiges, eigenverantwortliches Arbeiten | Flexibilität und Teilnahme an Rufdiensten, Schichtdienst",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://wolfartklinik.de/karriere/stellenangebote/anaesthesie-und-intensivschwestern-pfleger-w-m-d/
WolfartKlinik,Gräfelfing,ambulantes OP-Zentrum in Aubing,OTA / OP-Fachkraft (m/w/d) für unser ambulantes OP-Zentrum in Aubing,ota_ata,,,unklar,,vollzeit,"Eine Ausbildung als OTA / Gesundheits- und Krankenpfleger oder eine gleichwertige Qualifikation - Idealerweise in Verbindung mit Erfahrungen im OP-Bereich | Die Bereitschaft, selbstständige Entscheidungen zu treffen | Gute kommunikative Fähigkeiten, Aufgeschlossenheit und Einfühlungsvermögen, um unsere Patienten auf einem hohen Servicelevel zu begleiten | Freude an konstruktiver und interdisziplinärer Zusammenarbeit mit den Berufsgruppen Ärzteschaft, ZSVA, OP-Reinigung sowie Administration und Therapie",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://wolfartklinik.de/karriere/stellenangebote/ota-op-fachkraft-gesundheits-und-krankenpfleger-mfa-im-op-m-w-d-fuer-unser-ambulantes-op-zentrum-in-vollzeit-oder-teilzeit/
WolfartKlinik,Gräfelfing,OP,"OTA, OP Pflegekraft, Gesundheits- und Krankenpflegekraft im OP (m/w/d)",ota_ata,,Eine OP-Zulage von 400 € auf eine Vollzeitstelle sowie Urlaubs- und Weihnachtsgeld,unklar,,vollzeit_teilzeit,"Eine Ausbildung als OTA / Gesundheits- und Krankenpfleger oder eine gleichwertige Qualifikation - Idealerweise in Verbindung mit Erfahrungen im Op-Bereich | Die Bereitschaft, selbstständige Entscheidungen zu treffen | Gute kommunikative Fähigkeiten, Aufgeschlossenheit und Einfühlungsvermögen, um unsere Patienten auf einem hohen Servicelevel zu begleiten | Freude an konstruktiver und interdisziplinärer Zusammenarbeit mit den Berufsgruppen Ärzteschaft, ZSVA, OP-Reinigung sowie Administration und Therapie",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://wolfartklinik.de/karriere/stellenangebote/operationstechnischen-assistenten-m-w-d-gesundheits-und-krankenpfleger-im-op-m-w-d-op-pflegekraft-m-w-d/
WolfartKlinik,Gräfelfing,,Pflegefachkraft / Gesundheits- und Krankenpfleger / exam. Altenpfleger (m/w/d),pflegefachkraft,,Eine Vergütung nach dem Tarifvertrag der Privatkrankenanstalten in Bayern,unklar,,,"Eine Ausbildung als Gesundheits- und Krankenpfleger, Examinierter Altenpfleger oder eine gleichwertige Qualifikation | Die Bereitschaft, selbstständige Entscheidungen zu treffen | Gute kommunikative Fähigkeiten, Aufgeschlossenheit und Einfühlungsvermögen, um unsere Patienten auf einem hohen Servicelevel zu begleiten | Freude an konstruktiver und interdisziplinärer Zusammenarbeit mit den Berufsgruppen Ärzteschaft sowie Administration und Therapie",,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://wolfartklinik.de/karriere/stellenangebote/krankenschwester-gesundheits-und-krankenpfleger-m-w-d-examinierter-altenpfleger-m-w-d/
kbo-Heckscher-Klinikum,München,"Offene Stationen für Jugendliche, Standort Rottmannshöhe (Nachtdienst)","Gesundheits- und (Kinder-) Krankenpfleger (m/w/d), Erzieher, Heilerziehungspfleger im Nachtdienst am Standort Rottmannshöhe in Berg am Starnberger See",pflegefachkraft,,Tarifliche Vergütung gemäß TVöD/SuE in unbefristeter Anstellung; Bewertung: EG S8b TVöD-SuE,ja,Wohnmöglichkeit in näherer Umgebung für begrenzten Zeitraum,Vollzeit und Teilzeit vorwiegend im Nachtdienst,Abgeschlossene Ausbildung als Gesundheits- und Krankenpfleger (m/w/d) oder Gesundheits- und Kinderkrankenpfleger (m/w/d),"Erfahrungen in der Arbeit mit Jugendlichen oder psychisch Erkrankten erwünscht, aber nicht Voraussetzung",4,Zuordnung aus dem vorherigen Lauf übernommen,https://kbo.de/karriere/jobs/99-2026-gesundheits-und-kinder-krankenpfleger-m-w-d-erzieher-heilerziehungspfleger-im-nachtdienst-am-standort-rottmannshoehe-in-berg-am-starnberger-see
kbo-Heckscher-Klinikum,München,"Tagesklinik für Kinder und Jugendliche, Standort Landsberg am Lech",Pflegefachkraft / Gesundheits- und Krankenpfleger (m/w/d) für den Pflege- und Erziehungsdienst am Standort Landsberg am Lech,pflegefachkraft,,Tarifliche Vergütung gemäß TVöD/SuE in unbefristeter Anstellung; Bewertung: EG S8b TVöD-SuE,nein,,Teilzeit 29 Wochenstunden; befristet,Abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) oder Gesundheits- und Krankenpfleger (m/w/d),"Erfahrungen in der Arbeit mit Jugendlichen oder psychisch Erkrankten erwünscht, aber nicht Voraussetzung",4,Zuordnung aus dem vorherigen Lauf übernommen,https://kbo.de/karriere/jobs/98-2026-pflegefachkraft-gesundheits-und-krankenpfleger-m-w-d-fuer-den-pflege-und-erziehungsdienst-am-standort-landsberg-am-lech
kbo-Heckscher-Klinikum,München,"Therapiestation für Jugendliche (Pflege- und Erziehungsdienst), Standort Rottmannshöhe",Stellvertretende Stationsleitung im Pflege- und Erziehungsdienst am Standort Rottmannshöhe in Berg am Starnberger See,leitung,,Tarifliche Vergütung gemäß TVöD/SuE in unbefristeter Anstellung; Bewertung: EG S13 TVöD-SuE,nein,,Vollzeit,"Abgeschlossene Ausbildung als Erzieher/in, Pädagogische Fachkraft (m/w/d), Pflegefachkraft (m/w/d) oder Heilerziehungspfleger/in | Bereitschaft zum Schichtdienst",,4,Zuordnung aus dem vorherigen Lauf übernommen,https://kbo.de/karriere/jobs/100-2026-stellvertretende-stationsleitung-im-pflege-und-erziehungsdienst-am-standort-rottmannshoehe-in-berg-am-starnberger-see
kbo-Isar-Amper-Klinikum Haar,Haar,"kbo-Klinik für Psychosomatik, Psychiatrie und Psychotherapie | Haar",Pflegedienstleitung (m/w/d),leitung,P15,"Gehaltsspanne (Vollzeit / Jahresbrutto ohne Zulagen / je nach Qualifikation) 66.000,-€ - 82.000,-€; EG P15 TVöD-K (VKA)",unklar,,Teilzeit: 50%,Abgeschlossenes Studium Pflegemanagement/Pflegewissenschaft oder vergleichbar,Mehrjährige Führungs- und Leitungserfahrung im Krankenhaus,3,Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt,https://recruitingapp-5656.de.umantis.com/Vacancies/3322/Description/1
kbo-Isar-Amper-Klinikum Taufkirchen Vils,Taufkirchen (Vils),kbo-Klinik für Forensische Psychiatrie und Psychotherapie,Pflegefachfrau / Pflegefachmann / Gesundheits- und (Kinder-)Krankenpfleger / Altenpfleger / Heilerziehungspfleger oder Fachkrankenpfleger für Psychiatrie (m/w/d),pflegefachkraft,,"EG P8 TVöD (in Abhängigkeit von Überleitung bzw. Neueingruppierung); EG P9 TVöD für Fachkrankenpfleger für Psychiatrie m/w/d; 48.000,- € - 60.000,- € Jahresbrutto",unklar,,Vollzeit/Teilzeit; Unbefristet,"Abgeschlossene 3jährige Berufsausbildung als Pflegefachfrau, Pflegefachmann, Gesundheits- und (Kinder-)Krankenpfleger, Altenpfleger oder Heilerziehungspfleger",Abgeschlossene Fachweiterbildung für Psychiatrie (nach DKG-Richtlinie) für P9,3,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt · pay_grade auf der Seite nicht gefunden, geleert",https://recruitingapp-5656.de.umantis.com/Vacancies/704/Description/1
kbo-Isar-Amper-Klinikum Taufkirchen Vils,Taufkirchen (Vils),Station A3 (Psychotherapie/Psychosomatik),Pflegefachfrau / Pflegefachmann / Gesundheits- und (Kinder-)Krankenpfleger / Altenpfleger / Heilerziehungspfleger oder Fachkrankenpfleger – Pflegeexperte für Psychiatrie (m/w/d),pflegefachkraft,,"EG P8 TVöD (VKA) für Pflegefachfrau, Pflegefachmann, Gesundheits- und (Kinder-)Krankenpfleger, Altenpfleger oder EG P9 TVöD für Fachkrankenpfleger - Pflegeexperte für Psychiatrie m/w/d",unklar,,Vollzeit/Teilzeit; Unbefristet,Abgeschlossene Berufsausbildung als Pflegefachfrau / Pflegefachmann / Gesundheits- und (Kinder-)Krankenpfleger / Altenpfleger / Heilerziehungspfleger (m/w/d),Abgeschlossene Fachweiterbildung für Psychiatrie (nach DKG-Richtlinie) für P9,3,"Zuordnung aus dem vorherigen Lauf übernommen; Ort der Stelle nicht belegt · pay_grade auf der Seite nicht gefunden, geleert",https://recruitingapp-5656.de.umantis.com/Vacancies/3318/Description/1
kbo-Kinderzentrum München,München,,Gesundheits- und (Kinder-) Krankenpfleger/ Altenpfleger (w/m/d) für Nachtdienste,pflegefachkraft,,"Bewertung S 8b TVöD-K, Anlage C für Beschäftigte im Sozial- und Erziehungsdienst",unklar,,vollzeit_teilzeit,"Abgeschlossene Ausbildung in einem der o. g. Berufsfelder oder vergleichbarem Studiengang (Bachelor) | Interesse an der pflegerisch-pädagogischen Patientenversorgung | Erfahrung mit behinderten, verhaltensauffälligen und in der Entwicklung verzögerten Kindern und Jugendlichen | Pflegedokumentation und administrative Tätigkeiten im Nachtdienst | Beachtung und Einhaltung von Pflege- und Qualitätsstandards | Soziale Kompetenz, vor allem Kommunikations- und Konfliktfähigkeit, psychische Flexibilität, Einsatzbereitschaft und Motivation | Belastbarkeit, Teamfähigkeit","Erfahrung mit behinderten, verhaltensauffälligen und in der Entwicklung verzögerten Kindern und Jugendlichen",3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://recruitingapp-5545.de.umantis.com/Vacancies/691/Description/1
kbo-Kinderzentrum München,München,,Pflegefachkräfte /Gesundheits- und (Kinder-) Krankenpfleger (w/m/d),pflegefachkraft,,"Bewertung S 8b TVöD-K, Anlage C für Beschäftigte im Sozial- und Erziehungsdienst",unklar,,vollzeit,"Abgeschlossene Ausbildung in einem der o. g. Berufsfelder, als Pflegefachfrau / Pflegefachmann / Pflegefachkraft, Krankenschwester oder vergleichbarem Studiengang, u. a. Pflege / Pflegewissenschaft (Bachelor) | Interesse an der pflegerisch-pädagogischen Patientenversorgung | Erfahrung mit Kindern und Jugendlichen mit Behinderungen, Verhaltensauffälligkeiten und / oder Entwicklungsverzögerungen | Motivation, die pädagogisch-pflegerische Arbeit weiterzuentwickeln | Soziale Kompetenz, vor allem Kommunikations- und Konfliktfähigkeit, Flexibilität, psychische Belastbarkeit, Teamfähigkeit | gute Deutschkenntnisse in Wort und Schrift","Erfahrung mit Kindern und Jugendlichen mit Behinderungen, Verhaltensauffälligkeiten und / oder Entwicklungsverzögerungen",3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://recruitingapp-5545.de.umantis.com/Vacancies/438/Description/1
kbo-Kinderzentrum München,München,,Stationsleitung (w/m/d),leitung,,Bewertung S16 TVöD - Sozial- und Erziehungsdienst,unklar,,vollzeit,Abgeschlossene Ausbildung zum Gesundheits- und Kinderkrankenpfleger (w/m/d) oder Gesundheits- und Krankenpfleger (w/m/d) oder Pflegefachfrau (w/m/d) | Führungserfahrung | Weiterbildung für die Leitung eines Bereichs (DKG) oder abgeschlossenes Studium Pflegemanagement/ Pflege (Bachelor) | Sie bringen Freude an organisatorischen und mitarbeiterbezogenen Leitungsaufgaben mit | Sie besitzen Durchsetzungs- und Kooperationsfähigkeit und die Bereitschaft zur konstruktiven Zusammenarbeit im interdisziplinären Team | Flexibilität und Offenheit gegenüber neuen Entwicklungen zeichnen Sie aus | Sie haben sehr gute Deutschkenntnisse in Wort und Schrift,Wünschenswert ist eine mehrjährige Berufserfahrung in der Pädiatrie oder (Kinder- und Jugend-)Psychiatrie oder vergleichbaren Einrichtungen,3,"einzige Klinik am Portal, Ort der Anzeige unbekannt; Ort der Stelle nicht belegt",https://recruitingapp-5545.de.umantis.com/Vacancies/619/Description/1
m&i Fachklinik Bad Heilbrunn,Bad Heilbrunn,,Exam. Pflegefachkraft (m/w/d) im Nachtdienst,pflegefachkraft,,,nein,,Voll- oder Teilzeit,Abgeschlossene pflegerische Berufsausbildung | (Berufs-) Erfahrung in der Pflege,(Berufs-) Erfahrung in der Pflege,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_text auf der Seite nicht gefunden, geleert",https://www.fachklinik-bad-heilbrunn.de/job/exam-pflegefachkraft-m-w-d-im-nachtdienst
m&i Fachklinik Bad Heilbrunn,Bad Heilbrunn,,Exam. Pflegefachkraft (m/w/d) im familienfreundlichen Arbeitszeitmodell,pflegefachkraft,,,nein,,Voll- oder Teilzeit,Abgeschlossene pflegerische Berufsausbildung | (Berufs-) Erfahrung in der Pflege,(Berufs-) Erfahrung in der Pflege,4,"Zuordnung aus dem vorherigen Lauf übernommen · pay_text auf der Seite nicht gefunden, geleert",https://www.fachklinik-bad-heilbrunn.de/job/exam-pflegefachkraft-m-w-d-im-familienfreundlichen-arbeitszeitmodell
